L1_ItemNumber,L1_ItemDescription,L1_ItemType,L1_LotNumber,L1_Job,L1_JobStatus,L2_Quantity,L2_ItemNumber,L2_ItemDescription,L2_ItemType,L2_LotNumber,L2_Job,L2_JobStatus,L3_Quantity,L3_ItemNumber,L3_ItemDescription,L3_ItemType,L3_LotNumber,L3_Job,L3_JobStatus,L4_Quantity,L4_ItemNumber,L4_ItemDescription,L4_ItemType,L4_LotNumber,L4_Job,L4_JobStatus,L5_Quantity,L5_ItemNumber,L5_ItemDescription,L5_ItemType,L5_LotNumber
XX842ECD1B,Eumetopias jubatus,Finished Good,NH9RFLC,NH9RFLC,Complete,74,IX83928QKZ,Genetta genetta,Sub Assembly,EFUUDIL,XJ0L3YG,Unreleased,79,TT307O6LI0,Certotrichas paena,Sub Assembly,XJ0L3YG,GJGBCEC,Unreleased,63,YB461PZSHO,Gekko gecko,Sub Assembly,GJGBCEC,2RJVOZM,Complete,90,OZ6089AG6N,Bubalus arnee,Raw Material,2RJVOZM
MZ441ELE73,Ardea golieth,Finished Good,WCCTPTL,WCCTPTL,Unreleased,92,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,A9J6P9V,BQURN0L,Released,3,CO124ZSD0O,Spilogale gracilis,Sub Assembly,BQURN0L,NR48XYR,Released,5,RR7669RZHO,Carduelis uropygialis,Sub Assembly,NR48XYR,UT4YHY5,Released,45,FZ428WHN33,Petaurus norfolcensis,Raw Material,UT4YHY5
VG5951YMIZ,Phalacrocorax carbo,Finished Good,27W7WDI,27W7WDI,Unreleased,55,ZT17074KDS,Neophron percnopterus,Sub Assembly,S2O2NBJ,BQ3BH5J,Closed,2,FC438KLT2J,Pterocles gutturalis,Sub Assembly,BQ3BH5J,Z1VNMTK,Released,10,TF7133BDWI,Hippotragus niger,Sub Assembly,Z1VNMTK,9SAJLEY,Unreleased,71,BK936P05HT,Odocoileus hemionus,Raw Material,9SAJLEY
UL669134MZ,unavailable,Finished Good,L1S9WSK,L1S9WSK,Released,72,HI221W99HA,Manouria emys,Sub Assembly,I1VDLBP,V629OK6,Closed,68,HP871D4F83,Callipepla gambelii,Sub Assembly,V629OK6,BPVEU55,Released,29,SO715NUEBE,Catharacta skua,Sub Assembly,BPVEU55,NVA5EB1,Complete,71,FY583D5Y8X,Haematopus ater,Raw Material,NVA5EB1
IZ767GIG18,Eunectes sp.,Finished Good,TTKQW9S,TTKQW9S,Closed,2,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,W8OLI8N,PBH6R46,Closed,29,ZD552B4JBM,Coluber constrictor foxii,Sub Assembly,PBH6R46,F6P94DX,Closed,69,AE370XJTO6,Haematopus ater,Sub Assembly,F6P94DX,XEQOG42,Complete,40,BI711M5TDR,unavailable,Raw Material,XEQOG42
XX842ECD1B,Eumetopias jubatus,Finished Good,IO8M2OS,IO8M2OS,Unreleased,100,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,PV6ZZBG,7AU6RXJ,Closed,9,OJ2250C54Q,Dromaeus novaehollandiae,Sub Assembly,7AU6RXJ,XCMPUYS,Released,73,YE8162IPNQ,Passer domesticus,Sub Assembly,XCMPUYS,GYVQV1M,Unreleased,76,NZ973LTO7B,Nyctea scandiaca,Raw Material,GYVQV1M
MZ441ELE73,Ardea golieth,Finished Good,691MWQY,691MWQY,Complete,92,QV741IG248,Haliaetus vocifer,Sub Assembly,L8UEJLT,9JLHNGU,Closed,32,OI8633SWUT,Coendou prehensilis,Sub Assembly,9JLHNGU,492RFDB,Unreleased,49,VW9997G749,Pseudoleistes virescens,Sub Assembly,492RFDB,16FD9H2,Unreleased,9,VT549RQ7BI,Martes americana,Raw Material,16FD9H2
VG5951YMIZ,Phalacrocorax carbo,Finished Good,DBNLDVJ,DBNLDVJ,Released,18,IN009KUD12,Francolinus swainsonii,Sub Assembly,SY50QRG,BPG8ZPK,Released,41,DT520ZOXYB,Macropus eugenii,Sub Assembly,BPG8ZPK,3ASGN0H,Unreleased,1,PU903Z0IKE,Naja haje,Sub Assembly,3ASGN0H,VYE5OFB,Released,15,PO816HGZOQ,Varanus sp.,Raw Material,VYE5OFB
UL669134MZ,unavailable,Finished Good,7AUJLOE,7AUJLOE,Closed,2,GV32235T5I,Helogale undulata,Sub Assembly,D6EF5R2,EFRZXAC,Released,80,RG598ASDO7,Trachyphonus vaillantii,Sub Assembly,EFRZXAC,H3DQ7T9,Closed,87,XX934358Z1,Axis axis,Sub Assembly,H3DQ7T9,9FA6N3X,Closed,78,CX030IXVZ1,Priodontes maximus,Raw Material,9FA6N3X
IZ767GIG18,Eunectes sp.,Finished Good,LNUAWS0,LNUAWS0,Released,22,UJ1902SZ74,Sula nebouxii,Sub Assembly,80WVN2H,NS3CVEM,Unreleased,37,DH031YQ31Y,Junonia genoveua,Sub Assembly,NS3CVEM,0ZES9BJ,Closed,8,KI037SUK4W,Lycosa godeffroyi,Sub Assembly,0ZES9BJ,2VTE45M,Closed,12,AN075DKBZM,Dicrurus adsimilis,Raw Material,2VTE45M
XX842ECD1B,Eumetopias jubatus,Finished Good,K0VKVCM,K0VKVCM,Unreleased,63,AT0971JPEB,Ramphastos tucanus,Sub Assembly,2R5CEQ1,PS2QDXJ,Complete,84,XW73487FO8,Bubo virginianus,Sub Assembly,PS2QDXJ,90FZ0JR,Released,79,AY956QCMIP,Cervus canadensis,Sub Assembly,90FZ0JR,9JHY25Q,Unreleased,17,QP263QMUBI,unavailable,Raw Material,9JHY25Q
MZ441ELE73,Ardea golieth,Finished Good,EE5HWOD,EE5HWOD,Unreleased,45,ZO213ADVAL,Eubalaena australis,Sub Assembly,I6HASCE,CTL4ESP,Released,86,WR515MRIQX,Fregata magnificans,Sub Assembly,CTL4ESP,BLQ8V8O,Unreleased,93,EK529QLPZ5,Iguana iguana,Sub Assembly,BLQ8V8O,67XIA2X,Unreleased,75,LQ578XALJC,Colaptes campestroides,Raw Material,67XIA2X
ItemNumber,ItemDescription,Finished Good,XK6B3PG,XK6B3PG,Complete,7,FU119WGN5I,Cynictis penicillata,Sub Assembly,CG4PWCR,EY4NWGL,Closed,20,DW699P5QVC,Pelecans onocratalus,Sub Assembly,EY4NWGL,XFXYYR6,Closed,90,HZ97225IIJ,Myrmecophaga tridactyla,Sub Assembly,XFXYYR6,T9FQNYE,Closed,80,MN894CXM46,Semnopithecus entellus,Raw Material,T9FQNYE
UL669134MZ,unavailable,Finished Good,WEPPU3L,WEPPU3L,Complete,79,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,F5EC6S9,676FRX3,Complete,14,AJ650FB45L,Alcelaphus buselaphus caama,Sub Assembly,676FRX3,SKNG9QP,Released,71,NM1680AACN,Anas bahamensis,Sub Assembly,SKNG9QP,ZPSQ3T1,Released,19,RB690W87DN,Plegadis ridgwayi,Raw Material,ZPSQ3T1
IZ767GIG18,Eunectes sp.,Finished Good,9FKZK2E,9FKZK2E,Closed,44,NL479YC3PM,Macropus agilis,Sub Assembly,S5PYFHU,B7L4CBQ,Released,37,TR723MA1YJ,Platalea leucordia,Sub Assembly,B7L4CBQ,VB5VQBZ,Unreleased,76,SD292L8LS3,Meleagris gallopavo,Sub Assembly,VB5VQBZ,9CJ2O4U,Complete,32,PS960YEOTB,Meleagris gallopavo,Raw Material,9CJ2O4U
XX842ECD1B,Eumetopias jubatus,Finished Good,OCBNBJ1,OCBNBJ1,Complete,98,IX83928QKZ,Genetta genetta,Sub Assembly,FC486ZT,DGTL75S,Released,1,GM908GVWQ5,Choloepus hoffmani,Sub Assembly,DGTL75S,6IR7GGV,Closed,10,IO653QF8SB,Felis caracal,Sub Assembly,6IR7GGV,AKSOFLS,Released,30,JB808FRU9X,Lutra canadensis,Raw Material,AKSOFLS
MZ441ELE73,Ardea golieth,Finished Good,SL57SVO,SL57SVO,Complete,70,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,P9B9V12,HASGL0P,Complete,9,WM417NWVWW,Vombatus ursinus,Sub Assembly,HASGL0P,32MOUU1,Unreleased,71,QV284F8GIC,Psophia viridis,Sub Assembly,32MOUU1,OS6REGC,Unreleased,36,QZ5898QUR7,Bassariscus astutus,Raw Material,OS6REGC
VG5951YMIZ,Phalacrocorax carbo,Finished Good,PL5Q0YW,PL5Q0YW,Unreleased,39,ZT17074KDS,Neophron percnopterus,Sub Assembly,PUC5CD4,HBGHRXH,Unreleased,32,YQ530V4QMY,Terrapene carolina,Sub Assembly,HBGHRXH,YWCM6I3,Unreleased,32,OC585W9D84,Eumetopias jubatus,Sub Assembly,YWCM6I3,2PRGDZC,Unreleased,15,UR728PPYUZ,Ursus americanus,Raw Material,2PRGDZC
UL669134MZ,unavailable,Finished Good,0VQWLN9,0VQWLN9,Unreleased,74,HI221W99HA,Manouria emys,Sub Assembly,NOTQET1,DNXQEEX,Unreleased,72,MG684CDYQL,Papio ursinus,Sub Assembly,DNXQEEX,CRUDX5H,Complete,74,LL091ATGMR,Trichosurus vulpecula,Sub Assembly,CRUDX5H,7H4UX0F,Complete,40,FX81681BN1,Buteo regalis,Raw Material,7H4UX0F
IZ767GIG18,Eunectes sp.,Finished Good,U307NGZ,U307NGZ,Released,32,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,6R9WGUM,L3VSWT2,Unreleased,37,SD943E74A0,Castor canadensis,Sub Assembly,L3VSWT2,JBPCGNN,Complete,92,UR747UXNUW,Streptopelia senegalensis,Sub Assembly,JBPCGNN,LQ9FU5D,Closed,70,UH90619PQD,Choriotis kori,Raw Material,LQ9FU5D
XX842ECD1B,Eumetopias jubatus,Finished Good,ETNWNW7,ETNWNW7,Released,87,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,LAJ58SI,T1X1AYY,Released,79,QX118174TB,Dusicyon thous,Sub Assembly,T1X1AYY,RL5YF70,Complete,1,EI3293D0FU,Lasiorhinus latifrons,Sub Assembly,RL5YF70,D9TZZS7,Closed,22,NF042KRVZL,Acrantophis madagascariensis,Raw Material,D9TZZS7
MZ441ELE73,Ardea golieth,Finished Good,95NSGU9,95NSGU9,Released,62,QV741IG248,Haliaetus vocifer,Sub Assembly,V7Q13C5,77Y3QO6,Unreleased,90,FI450JPZCV,Macropus eugenii,Sub Assembly,77Y3QO6,9G9XC7V,Released,41,VQ561U75SV,Libellula quadrimaculata,Sub Assembly,9G9XC7V,CKF5V92,Closed,49,CC4785WBI0,Antidorcas marsupialis,Raw Material,CKF5V92
VG5951YMIZ,Phalacrocorax carbo,Finished Good,GJGBCEC,GJGBCEC,Unreleased,17,IN009KUD12,Francolinus swainsonii,Sub Assembly,2RJVOZM,EE2V1BA,Complete,20,HE967K2P62,Felis wiedi or Leopardus weidi,Sub Assembly,EE2V1BA,288N9DX,Unreleased,57,TF297QMMMQ,Canis lupus,Sub Assembly,288N9DX,YAP84E9,Unreleased,2,ID719JF9B0,Felis silvestris lybica,Raw Material,YAP84E9
UL669134MZ,unavailable,Finished Good,NR48XYR,NR48XYR,Released,69,GV32235T5I,Helogale undulata,Sub Assembly,UT4YHY5,23OQ3XR,Complete,41,UC95605J9C,Macropus robustus,Sub Assembly,23OQ3XR,2W180FC,Unreleased,16,TH529NC6LZ,Anas bahamensis,Sub Assembly,2W180FC,PKUNH6O,Closed,49,PI202F89D6,Stercorarius longicausus,Raw Material,PKUNH6O
IZ767GIG18,Eunectes sp.,Finished Good,Z1VNMTK,Z1VNMTK,Complete,94,UJ1902SZ74,Sula nebouxii,Sub Assembly,9SAJLEY,XKTG49U,Released,65,JU321C82FC,Pycnonotus barbatus,Sub Assembly,XKTG49U,0UVP949,Unreleased,49,TE151W98P3,Crax sp.,Sub Assembly,0UVP949,D1NB7IQ,Complete,47,DX238KUWW5,Felis silvestris lybica,Raw Material,D1NB7IQ
XX842ECD1B,Eumetopias jubatus,Finished Good,BPVEU55,BPVEU55,Closed,13,AT0971JPEB,Ramphastos tucanus,Sub Assembly,NVA5EB1,Z3QDDGC,Complete,75,ET674G0JJH,Casmerodius albus,Sub Assembly,Z3QDDGC,24XDHTQ,Complete,78,KZ290PQILX,Haliaeetus leucocephalus,Sub Assembly,24XDHTQ,BFKZNQE,Unreleased,78,XT199304U4,Dasypus septemcincus,Raw Material,BFKZNQE
MZ441ELE73,Ardea golieth,Finished Good,F6P94DX,F6P94DX,Unreleased,68,ZO213ADVAL,Eubalaena australis,Sub Assembly,XEQOG42,Z5NJH3Z,Released,53,QW9998X5WK,Myotis lucifugus,Sub Assembly,Z5NJH3Z,QHB4903,Released,26,YT562ONJJU,Corythornis cristata,Sub Assembly,QHB4903,QNSV072,Complete,67,SA797JRWXS,Bucephala clangula,Raw Material,QNSV072
ItemNumber,ItemDescription,Finished Good,XCMPUYS,XCMPUYS,Complete,85,FU119WGN5I,Cynictis penicillata,Sub Assembly,GYVQV1M,995RRCD,Unreleased,34,TK143QJ0LV,Trachyphonus vaillantii,Sub Assembly,995RRCD,BADL7RB,Closed,15,OC581U5LLW,Otaria flavescens,Sub Assembly,BADL7RB,G1N31TF,Closed,31,GX715POTF4,Gyps fulvus,Raw Material,G1N31TF
UL669134MZ,unavailable,Finished Good,492RFDB,492RFDB,Unreleased,75,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,16FD9H2,VWP3WHC,Unreleased,42,UA700ZHN5F,Buteo regalis,Sub Assembly,VWP3WHC,BA7RGVF,Released,26,UD35166Y5H,Lepus townsendii,Sub Assembly,BA7RGVF,X44E1SS,Released,90,GL572T0HGJ,unavailable,Raw Material,X44E1SS
IZ767GIG18,Eunectes sp.,Finished Good,3ASGN0H,3ASGN0H,Released,54,NL479YC3PM,Macropus agilis,Sub Assembly,VYE5OFB,1RRUXNO,Released,11,TR202OHRJ8,Zosterops pallidus,Sub Assembly,1RRUXNO,S2JLMLP,Complete,70,EZ701Z5IE4,Plocepasser mahali,Sub Assembly,S2JLMLP,4FMT1MG,Released,24,YD054S2GFV,Felis silvestris lybica,Raw Material,4FMT1MG
XX842ECD1B,Eumetopias jubatus,Finished Good,H3DQ7T9,H3DQ7T9,Unreleased,94,IX83928QKZ,Genetta genetta,Sub Assembly,9FA6N3X,I70ZX94,Unreleased,91,RY8076ADQX,Laniarius ferrugineus,Sub Assembly,I70ZX94,FGDGJX4,Released,86,XS587R8I53,Taxidea taxus,Sub Assembly,FGDGJX4,SXI7GIH,Released,1,OX270GCE71,Papilio canadensis,Raw Material,SXI7GIH
MZ441ELE73,Ardea golieth,Finished Good,0ZES9BJ,0ZES9BJ,Closed,31,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,2VTE45M,RIH777F,Released,66,ZF254JDBWA,Papio cynocephalus,Sub Assembly,RIH777F,ER0X2PI,Complete,3,WT6055IQYF,Equus hemionus,Sub Assembly,ER0X2PI,UUO28Q2,Released,50,GP9907EQ8U,Nectarinia chalybea,Raw Material,UUO28Q2
VG5951YMIZ,Phalacrocorax carbo,Finished Good,90FZ0JR,90FZ0JR,Released,84,ZT17074KDS,Neophron percnopterus,Sub Assembly,9JHY25Q,50PF94Z,Unreleased,73,HT187TM346,Melophus lathami,Sub Assembly,50PF94Z,5BDYALM,Unreleased,65,NP409G7T15,Dipodomys deserti,Sub Assembly,5BDYALM,ZNPBMYT,Closed,92,XI879BG7YI,Numida meleagris,Raw Material,ZNPBMYT
UL669134MZ,unavailable,Finished Good,BLQ8V8O,BLQ8V8O,Unreleased,75,HI221W99HA,Manouria emys,Sub Assembly,67XIA2X,J7OMT5K,Released,1,AN106VMB9Z,Meleagris gallopavo,Sub Assembly,J7OMT5K,6SDAKHU,Closed,11,ZA711UPXQB,Drymarchon corias couperi,Sub Assembly,6SDAKHU,1RVV0JG,Unreleased,90,BW618106RR,Raphicerus campestris,Raw Material,1RVV0JG
IZ767GIG18,Eunectes sp.,Finished Good,XFXYYR6,XFXYYR6,Unreleased,53,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,T9FQNYE,3PI6D8D,Unreleased,34,FF3610NQ0W,Actophilornis africanus,Sub Assembly,3PI6D8D,G246H6E,Released,58,EQ141CID4D,Chlidonias leucopterus,Sub Assembly,G246H6E,J1FFH8E,Unreleased,11,QJ387KAHHB,Isoodon obesulus,Raw Material,J1FFH8E
XX842ECD1B,Eumetopias jubatus,Finished Good,SKNG9QP,SKNG9QP,Complete,50,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,ZPSQ3T1,0VSFWS7,Released,82,BS508XXHRD,Spermophilus richardsonii,Sub Assembly,0VSFWS7,2X99KDN,Unreleased,69,DO240TGBO5,Kobus defassa,Sub Assembly,2X99KDN,PIUZ671,Closed,35,EC4336NRPQ,Numida meleagris,Raw Material,PIUZ671
MZ441ELE73,Ardea golieth,Finished Good,VB5VQBZ,VB5VQBZ,Closed,86,QV741IG248,Haliaetus vocifer,Sub Assembly,9CJ2O4U,1JUDV7W,Closed,99,EU290A8ENU,Ovis ammon,Sub Assembly,1JUDV7W,W1SFQVD,Released,27,PB0421WBIP,Francolinus coqui,Sub Assembly,W1SFQVD,5OXX9EF,Closed,38,FM401930BN,Lamprotornis sp.,Raw Material,5OXX9EF
VG5951YMIZ,Phalacrocorax carbo,Finished Good,6IR7GGV,6IR7GGV,Unreleased,26,IN009KUD12,Francolinus swainsonii,Sub Assembly,AKSOFLS,0WJHQV9,Unreleased,25,ES187TFWQ2,Tursiops truncatus,Sub Assembly,0WJHQV9,33DR4PI,Released,23,RE410HA06V,Columba palumbus,Sub Assembly,33DR4PI,650FOV3,Released,38,NF314KPQ12,Physignathus cocincinus,Raw Material,650FOV3
UL669134MZ,unavailable,Finished Good,32MOUU1,32MOUU1,Complete,92,GV32235T5I,Helogale undulata,Sub Assembly,OS6REGC,309CNLC,Closed,43,JZ187GWLN4,Terrapene carolina,Sub Assembly,309CNLC,T9BMRZS,Closed,66,TW391QL8EW,Charadrius tricollaris,Sub Assembly,T9BMRZS,U1G12XK,Released,11,US721M3LT8,Dacelo novaeguineae,Raw Material,U1G12XK
IZ767GIG18,Eunectes sp.,Finished Good,YWCM6I3,YWCM6I3,Unreleased,34,UJ1902SZ74,Sula nebouxii,Sub Assembly,2PRGDZC,GZW69L2,Released,82,JW592Q3SL6,Capreolus capreolus,Sub Assembly,GZW69L2,YTCHS7G,Released,75,WH2305KAI0,Columba palumbus,Sub Assembly,YTCHS7G,7NZWL8Z,Closed,67,CX275QY0QX,Grus antigone,Raw Material,7NZWL8Z
XX842ECD1B,Eumetopias jubatus,Finished Good,CRUDX5H,CRUDX5H,Closed,93,AT0971JPEB,Ramphastos tucanus,Sub Assembly,7H4UX0F,FNPW2PV,Complete,76,FH43868JVJ,Phasianus colchicus,Sub Assembly,FNPW2PV,SZU9U5C,Released,98,QK16402Z38,Neotis denhami,Sub Assembly,SZU9U5C,DTBGDCP,Closed,85,PL995L18LB,unavailable,Raw Material,DTBGDCP
MZ441ELE73,Ardea golieth,Finished Good,JBPCGNN,JBPCGNN,Released,28,ZO213ADVAL,Eubalaena australis,Sub Assembly,LQ9FU5D,E21NIMP,Released,73,SU2488GBJT,Ursus arctos,Sub Assembly,E21NIMP,CAZSOY4,Released,78,FX536A83P7,Bassariscus astutus,Sub Assembly,CAZSOY4,MH9IQVW,Released,64,BT231IN877,Bassariscus astutus,Raw Material,MH9IQVW
ItemNumber,ItemDescription,Finished Good,RL5YF70,RL5YF70,Complete,27,FU119WGN5I,Cynictis penicillata,Sub Assembly,D9TZZS7,CDK7QMS,Closed,47,ML469SF2K2,Halcyon smyrnesis,Sub Assembly,CDK7QMS,GOHB8NG,Unreleased,14,KU936DJAU1,Snycerus caffer,Sub Assembly,GOHB8NG,706LOH2,Unreleased,91,HS5381HM22,Rhea americana,Raw Material,706LOH2
UL669134MZ,unavailable,Finished Good,9G9XC7V,9G9XC7V,Released,6,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,CKF5V92,4X8CAL9,Unreleased,67,PL3630RQA1,Tachybaptus ruficollis,Sub Assembly,4X8CAL9,V6OA30N,Closed,94,YT94584WKQ,Cacatua tenuirostris,Sub Assembly,V6OA30N,TAW39WP,Released,4,TP13187GQE,Deroptyus accipitrinus,Raw Material,TAW39WP
IZ767GIG18,Eunectes sp.,Finished Good,288N9DX,288N9DX,Closed,51,NL479YC3PM,Macropus agilis,Sub Assembly,YAP84E9,NTP1JDA,Complete,42,GK022DF4QW,Lasiodora parahybana,Sub Assembly,NTP1JDA,48ND9VR,Unreleased,77,IB285R9215,Tachyglossus aculeatus,Sub Assembly,48ND9VR,584O6PU,Closed,20,QH132YC4BX,Taurotagus oryx,Raw Material,584O6PU
XX842ECD1B,Eumetopias jubatus,Finished Good,2W180FC,2W180FC,Closed,100,IX83928QKZ,Genetta genetta,Sub Assembly,PKUNH6O,Y7OXHZ4,Unreleased,13,TT307O6LI0,Certotrichas paena,Sub Assembly,Y7OXHZ4,DRL1BU4,Complete,27,VW1614J2FC,Bettongia penicillata,Sub Assembly,DRL1BU4,VIO4D1K,Closed,82,WI804WE5OM,Zonotrichia capensis,Raw Material,VIO4D1K
MZ441ELE73,Ardea golieth,Finished Good,0UVP949,0UVP949,Complete,16,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,D1NB7IQ,D9LEDU0,Closed,81,CO124ZSD0O,Spilogale gracilis,Sub Assembly,D9LEDU0,SYV7HVG,Unreleased,71,LP763E05SL,Varanus komodensis,Sub Assembly,SYV7HVG,B590MHU,Complete,83,QI523M9M2B,Recurvirostra avosetta,Raw Material,B590MHU
VG5951YMIZ,Phalacrocorax carbo,Finished Good,24XDHTQ,24XDHTQ,Closed,14,ZT17074KDS,Neophron percnopterus,Sub Assembly,BFKZNQE,L8ONK6W,Closed,50,FC438KLT2J,Pterocles gutturalis,Sub Assembly,L8ONK6W,ULZ7RGE,Closed,22,TQ54337K6U,Petaurus breviceps,Sub Assembly,ULZ7RGE,9QNC9XH,Closed,86,UO07513EPH,Phoca vitulina,Raw Material,9QNC9XH
UL669134MZ,unavailable,Finished Good,QHB4903,QHB4903,Complete,47,HI221W99HA,Manouria emys,Sub Assembly,QNSV072,OHA9444,Unreleased,66,HP871D4F83,Callipepla gambelii,Sub Assembly,OHA9444,UHAVZ08,Unreleased,90,XA229T67OW,Papio cynocephalus,Sub Assembly,UHAVZ08,CDW215F,Unreleased,71,GW204HFDO6,Ceratotherium simum,Raw Material,CDW215F
IZ767GIG18,Eunectes sp.,Finished Good,BADL7RB,BADL7RB,Complete,12,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,G1N31TF,3FDYVZA,Closed,29,ZD552B4JBM,Coluber constrictor foxii,Sub Assembly,3FDYVZA,DJWN8YU,Unreleased,37,GZ537GBWGF,Lamprotornis superbus,Sub Assembly,DJWN8YU,PQYFCCX,Unreleased,30,IA219KR75X,Spermophilus tridecemlineatus,Raw Material,PQYFCCX
XX842ECD1B,Eumetopias jubatus,Finished Good,BA7RGVF,BA7RGVF,Complete,53,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,X44E1SS,4CQ4BGD,Complete,27,OJ2250C54Q,Dromaeus novaehollandiae,Sub Assembly,4CQ4BGD,NDAWHZR,Released,91,TW7081YXFC,Lasiodora parahybana,Sub Assembly,NDAWHZR,ZF6DB9D,Released,64,VD584RM90I,Hyaena brunnea,Raw Material,ZF6DB9D
MZ441ELE73,Ardea golieth,Finished Good,S2JLMLP,S2JLMLP,Released,28,QV741IG248,Haliaetus vocifer,Sub Assembly,4FMT1MG,DVPIBKI,Released,32,OI8633SWUT,Coendou prehensilis,Sub Assembly,DVPIBKI,SODYLI9,Closed,54,RT1878LUCT,Nasua narica,Sub Assembly,SODYLI9,HP5GAFL,Closed,45,OW702HB8PW,Ninox superciliaris,Raw Material,HP5GAFL
VG5951YMIZ,Phalacrocorax carbo,Finished Good,FGDGJX4,FGDGJX4,Released,16,IN009KUD12,Francolinus swainsonii,Sub Assembly,SXI7GIH,30RFZV3,Unreleased,6,DT520ZOXYB,Macropus eugenii,Sub Assembly,30RFZV3,T7ZMEM7,Complete,10,XY147VW105,Bettongia penicillata,Sub Assembly,T7ZMEM7,31JJY10,Released,56,PP87254TXD,Cacatua galerita,Raw Material,31JJY10
UL669134MZ,unavailable,Finished Good,ER0X2PI,ER0X2PI,Released,56,GV32235T5I,Helogale undulata,Sub Assembly,UUO28Q2,6QHDB8M,Released,28,RG598ASDO7,Trachyphonus vaillantii,Sub Assembly,6QHDB8M,HSRP2ZE,Closed,66,HF058V4OHJ,Alopochen aegyptiacus,Sub Assembly,HSRP2ZE,KUVNKQY,Complete,28,UF681XB4D0,Sarcorhamphus papa,Raw Material,KUVNKQY
IZ767GIG18,Eunectes sp.,Finished Good,5BDYALM,5BDYALM,Complete,55,UJ1902SZ74,Sula nebouxii,Sub Assembly,ZNPBMYT,JR6RZDR,Complete,82,DH031YQ31Y,Junonia genoveua,Sub Assembly,JR6RZDR,TRQENEF,Closed,3,FF786NFBKQ,Alouatta seniculus,Sub Assembly,TRQENEF,KE3EOEN,Unreleased,19,WY385H4GSD,Ciconia episcopus,Raw Material,KE3EOEN
XX842ECD1B,Eumetopias jubatus,Finished Good,6SDAKHU,6SDAKHU,Complete,29,AT0971JPEB,Ramphastos tucanus,Sub Assembly,1RVV0JG,I2HS7TD,Complete,12,XW73487FO8,Bubo virginianus,Sub Assembly,I2HS7TD,8OQDEUG,Unreleased,39,LV045GJH8R,Tyto novaehollandiae,Sub Assembly,8OQDEUG,P6UL25I,Closed,100,EI619X37DL,Tamiasciurus hudsonicus,Raw Material,P6UL25I
MZ441ELE73,Ardea golieth,Finished Good,G246H6E,G246H6E,Unreleased,57,ZO213ADVAL,Eubalaena australis,Sub Assembly,J1FFH8E,W2WUWWJ,Closed,81,WR515MRIQX,Fregata magnificans,Sub Assembly,W2WUWWJ,HQLMQTR,Closed,81,SI402Z20YP,Acrantophis madagascariensis,Sub Assembly,HQLMQTR,ZEJ1BLM,Unreleased,86,QO014JZQ24,Pseudalopex gymnocercus,Raw Material,ZEJ1BLM
ItemNumber,ItemDescription,Finished Good,2X99KDN,2X99KDN,Closed,32,FU119WGN5I,Cynictis penicillata,Sub Assembly,PIUZ671,8RHW4H8,Released,71,DW699P5QVC,Pelecans onocratalus,Sub Assembly,8RHW4H8,4FRE6ZB,Complete,80,CN936IN00V,Tachybaptus ruficollis,Sub Assembly,4FRE6ZB,QI7ASQJ,Released,7,AC091O0SOM,Ephippiorhynchus mycteria,Raw Material,QI7ASQJ
UL669134MZ,unavailable,Finished Good,W1SFQVD,W1SFQVD,Complete,13,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,5OXX9EF,K40XEE8,Complete,30,AJ650FB45L,Alcelaphus buselaphus caama,Sub Assembly,K40XEE8,CG5RG04,Unreleased,3,CV023K1H0C,Corvus brachyrhynchos,Sub Assembly,CG5RG04,IYPBGKJ,Complete,19,EN711GGO8D,Butorides striatus,Raw Material,IYPBGKJ
IZ767GIG18,Eunectes sp.,Finished Good,33DR4PI,33DR4PI,Released,98,NL479YC3PM,Macropus agilis,Sub Assembly,650FOV3,NTT6QYC,Closed,37,TR723MA1YJ,Platalea leucordia,Sub Assembly,NTT6QYC,T2PXLLE,Closed,52,QK087ASHZR,Cereopsis novaehollandiae,Sub Assembly,T2PXLLE,RBVUSAY,Complete,29,AW905XWF1Y,Ciconia episcopus,Raw Material,RBVUSAY
XX842ECD1B,Eumetopias jubatus,Finished Good,T9BMRZS,T9BMRZS,Unreleased,62,IX83928QKZ,Genetta genetta,Sub Assembly,U1G12XK,HEPHBLM,Complete,59,GM908GVWQ5,Choloepus hoffmani,Sub Assembly,HEPHBLM,PGRN66Z,Closed,34,HV510WY4FL,Alligator mississippiensis,Sub Assembly,PGRN66Z,EOJMANM,Released,58,BH539U2GQC,Equus burchelli,Raw Material,EOJMANM
